127.0.0.1 - - [25/Feb/2018:21:23:51 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:23:53 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 9814
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:23:54 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:23:54 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:23:54 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:23:54 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:23:54 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:24:08 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 9814
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:24:09 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:24:09 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:24:09 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:24:09 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 200 19191
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:24:09 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:24:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:33:44 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:33:44 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:33:44 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:33:44 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:33:45 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:33:45 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:33:56 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 9814
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:33:56 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:34:00 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:34:00 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:34:00 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:34:00 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:34:00 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:34:00 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:35:55 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:35:55 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:39:38 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:39:38 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:39:43 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 9849
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:39:43 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:39:48 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:39:48 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:39:50 +0900] "GET /Lecture_Evaluation/usrJoin.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:40:26 +0900] "GET /Lecture_Evaluation/usrJoin.jsp HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:40:32 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:40:32 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:40:36 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:40:36 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:40:38 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:40:38 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:40:41 +0900] "GET /Lecture_Evaluation/userLogout.jsp HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [25/Feb/2018:21:40:48 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 9850
