127.0.0.1 - - [07/Mar/2018:11:12:18 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:12:21 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:12:23 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:12:24 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:12:24 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:12:24 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:12:24 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 200 19191
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:12:24 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:12:32 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:12:32 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 14978
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:12:32 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:14:59 +0900] "POST /Lecture_Evaluation/evaluationRegisterAction.jsp HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:14:59 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 15119
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:00 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:09 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&searchType=%EC%B5%9C%EC%8B%A0%EC%88%9C&search= HTTP/1.1" 200 15119
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:09 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:09 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:13 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&searchType=%EC%B6%94%EC%B2%9C%EC%88%9C&search= HTTP/1.1" 200 14836
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:13 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:13 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:30 +0900] "GET /Lecture_Evaluation/likeAction.jsp?evaluationID=2 HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:33 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 15119
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:33 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:36 +0900] "GET /Lecture_Evaluation/userLogout.jsp HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:36 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:38 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:38 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:44 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:15:44 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:16:42 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:16:42 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:16:48 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:16:48 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 15119
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:16:48 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:16:48 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:16:53 +0900] "GET /Lecture_Evaluation/likeAction.jsp?evaluationID=11 HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:16:55 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 15119
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:16:55 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:04 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&searchType=%EC%B5%9C%EC%8B%A0%EC%88%9C&search=&pageNumber=1 HTTP/1.1" 200 11247
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:04 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:09 +0900] "GET /Lecture_Evaluation/likeAction.jsp?evaluationID=2 HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:11 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 15119
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:11 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:11 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:15 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&searchType=%EC%B6%94%EC%B2%9C%EC%88%9C&search= HTTP/1.1" 200 15049
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:15 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:26 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&searchType=%EC%B6%94%EC%B2%9C%EC%88%9C&search=%EC%86%8C%ED%94%84%ED%8A%B8 HTTP/1.1" 200 10245
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:26 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:34 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&searchType=%EC%B5%9C%EC%8B%A0%EC%88%9C&search= HTTP/1.1" 200 15119
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:34 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:17:34 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:19:01 +0900] "POST /Lecture_Evaluation/evaluationRegisterAction.jsp HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:19:01 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 15298
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:19:01 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2018:11:19:15 +0900] "GET /UserChat/index.jsp HTTP/1.1" 404 1096
