127.0.0.1 - - [24/May/2018:16:32:04 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:12 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:14 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:14 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:15 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:15 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:15 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 200 19191
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:15 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:35 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:37 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:37 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:37 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:37 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:37 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:47 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:47 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 15298
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:47 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:59 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&searchType=%EC%B5%9C%EC%8B%A0%EC%88%9C&search=&pageNumber=1 HTTP/1.1" 200 12285
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:59 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [24/May/2018:16:33:06 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&searchType=%EC%B5%9C%EC%8B%A0%EC%88%9C&search=&pageNumber=0 HTTP/1.1" 200 15298
0:0:0:0:0:0:0:1 - - [24/May/2018:16:33:06 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 404 1115
